learning_rate,num_steps,beta1,beta2,beta3,hidden_1,hidden_2,hidden_3,input_dim,test_rmse_score,test_r2_score,hidden_4
0.1,19600.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.1321431390001175,0.8888180251599958,
0.1,19600.0,0.1,0.01,0.001,16.0,8.0,4.0,403.0,0.23562779179182944,0.6464928744669539,
0.1,19600.0,0.1,0.0005,5e-06,16.0,8.0,4.0,403.0,0.12885706451874648,0.8942789147320803,
0.1,19600.0,0.0,0.0,0.0,16.0,8.0,4.0,403.0,0.3963912605373057,-0.0004451593940073551,
0.1,29600.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.1486995707343828,0.8592123449888995,
0.1,4000.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.1722572126272897,0.811070412425855,
0.1,1750.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.39636210800891386,-0.00029800966427795395,
0.1,3600.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.1279601233276019,0.895745587406899,
0.1,4000.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.1228120880917308,0.9039654785512382,
0.1,7600.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.12726600563577906,0.8968735725854569,
0.1,5500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.12783081051294168,0.8959561939491494,
0.1,7600.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,399.63505174297086,-1016885.0545977936,
0.1,17600.0,0.1,0.0005,5e-06,16.0,8.0,4.0,403.0,0.1229335652121072,0.9037754033412564,
0.1,17100.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.12399592635646775,0.9021051194757764,
0.1,19500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.12212757412306707,0.9050330244964874,
0.1,29500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.12180316348801333,0.9055368808715141,
0.1,49500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.12071167507990085,0.9072222793209208,
0.1,9500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.10417789538512907,0.9281963562449662,
0.1,19500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.0896007979897878,0.9468847683875916,
0.1,19500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.11814210566166256,0.907656838602764,
0.1,19500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.11814210566166256,0.907656838602764,
0.1,9500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.09085303329731206,0.9453897471003646,
0.1,9500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.09091451246324392,0.9453158138780696,
0.1,19500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.09163803020560593,0.9444419729208052,
0.05,39500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.07699893733758116,0.960774834237612,
0.1,49500.0,0.005,0.005,0.005,16.0,8.0,4.0,403.0,0.07357905050975842,0.9641818061125026,
