learning_rate,num_steps,beta1,beta2,beta3,hidden_1,hidden_2,hidden_3,input_dim,test_rmse_score,test_r2_score,hidden_4,beta4
0.1,49500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.08760528922652601,0.949224292901362,,
0.1,9500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.159088708621095,0.8325542852569909,,
0.1,29500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.093280604755114,0.942432412387264,,
0.1,29500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.12796898184835198,0.8689350475309471,,
0.1,9500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.117636963014951,0.889244639997055,,
0.1,9500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.104068045685247,0.928347702174333,,
0.1,9500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.10367716958431,0.928884938626013,,
0.1,9500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.103493744429202,0.9291363488885872,,
0.1,9500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.103775398849656,0.9364545727422208,,
0.1,26000.0,0.1,0.0,0.0,200.0,100.0,50.0,403.0,0.11222077670299198,0.925690896450345,,
0.1,26000.0,0.1,0.0,0.0,200.0,100.0,50.0,403.0,0.111168642203888,0.927077745972656,12.0,
0.1,26000.0,0.1,0.0,0.0,200.0,100.0,50.0,403.0,0.111168642203888,0.927077745972656,12.0,
0.1,46000.0,0.1,0.0,0.0,200.0,100.0,50.0,403.0,0.411770183380344,-0.000472770850846,12.0,
0.1,26000.0,0.0,0.0,0.0,200.0,96.0,32.0,403.0,0.4117340211930701,-0.00029705295525,4.0,
0.1,6000.0,0.0,0.0,0.0,200.0,96.0,32.0,403.0,0.412326191894624,-0.003176448604939,4.0,0.0
0.1,26000.0,0.1,0.0,0.0,200.0,96.0,32.0,403.0,0.411761532459601,-0.000430733228514,4.0,0.0
0.1,26000.0,0.1,0.0,0.0,32.0,16.0,8.0,403.0,0.411744563714958,-0.00034827917433699986,4.0,0.0
0.1,46000.0,0.1,0.1,0.0,200.0,100.0,50.0,403.0,0.411750038377088,-0.00037488112968400017,25.0,0.0
0.1,46000.0,0.1,0.1,0.0,200.0,100.0,50.0,403.0,0.411750038377088,-0.00037488112968400017,25.0,0.0
0.1,26000.0,0.1,0.0,0.0,200.0,100.0,50.0,403.0,0.41173922194815504,-0.00032232331219700003,12.0,0.0
0.05,26000.0,0.1,0.0,0.0,200.0,100.0,50.0,403.0,0.412324207834905,-0.003166794320377,12.0,0.0
0.1,15000.0,0.1,,,16.0,,,403.0,0.115072316842009,0.921866514934695,,
0.1,15000.0,0.0,,,1.0,,,403.0,0.11618504810852907,0.9203481318886668,,
0.1,15000.0,0.0,,,2.0,,,403.0,0.15099354833399076,0.8654721306540399,,
0.1,15000.0,,,,,,,403.0,0.16264843974261814,0.8439027382660276,,
0.1,35000.0,,,,,,,403.0,0.14705011983189162,0.8724071767575934,,
0.1,8000.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.18481279853490845,0.7984607822990519,,
0.1,20000.0,0.1,0.05,0.0,76.0,48.0,32.0,403.0,0.11144128601591546,0.9267196201338064,16.0,0.0
0.1,25000.0,0.1,0.05,0.0,128.0,64.0,32.0,403.0,0.4123386469213972,-0.003237054884538626,16.0,0.0
0.1,8000.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.11110774346841024,0.9271576184367648,,
0.1,25000.0,0.1,0.05,0.0,128.0,64.0,32.0,403.0,0.1507868021760843,0.8658402798767035,16.0,0.0
0.05,35000.0,0.1,0.0,0.0,128.0,64.0,32.0,403.0,0.4123242078349046,-0.003166794320377475,16.0,0.0
0.1,25000.0,0.1,0.0,0.0,256.0,128.0,32.0,403.0,0.4123242078349046,-0.003166794320377475,8.0,0.0
0.05,25000.0,0.1,0.0,0.0,256.0,128.0,32.0,403.0,0.4123243150044179,-0.003167315797938164,8.0,0.0
0.1,15000.0,0.1,0.0,0.0,4.0,16.0,16.0,403.0,0.4123242614185618,-0.0031670550537912234,4.0,0.0
0.1,35000.0,0.1,0.0,0.0,256.0,128.0,64.0,403.0,0.4123249045939557,-0.003170184691939193,32.0,0.0
0.1,25000.0,0.1,0.1,0.0,256.0,128.0,32.0,403.0,0.12333427748664948,0.9102440868558718,8.0,0.0
0.05,25000.0,0.1,0.0,0.0,256.0,128.0,64.0,403.0,0.4123242614185618,-0.0031670550537912234,8.0,0.0
0.05,25000.0,0.1,0.0,0.0,128.0,64.0,16.0,403.0,0.4123190206712393,-0.003141554193722307,4.0,0.0
0.1,35000.0,0.1,0.0,0.0,16.0,32.0,48.0,403.0,0.4162046760725201,-0.022137665190347544,76.0,0.0
0.1,15000.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.4123242078349046,-0.003166794320377475,2.0,0.0
0.05,25000.0,0.1,0.05,0.0,128.0,64.0,16.0,403.0,0.4123244221827264,-0.003167837318431177,4.0,0.0
0.05,25000.0,0.1,0.0,0.0,190.0,90.0,30.0,403.0,0.4123239399496007,-0.003165490814305505,3.0,0.0
0.1,8000.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.4123242078349046,-0.003166794320377475,2.0,0.0
0.1,6000.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.4123238863791363,-0.003165230145290243,,
0.1,6000.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.1054364205309435,0.9344040858412336,,
0.1,20000.0,0.1,0.05,0.0,76.0,48.0,32.0,403.0,0.10864574847913888,0.9303500267364896,16.0,0.0
0.1,6000.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.10379186334135627,0.936434407536071,,
0.1,20000.0,0.1,0.05,0.0,76.0,48.0,32.0,403.0,0.10651143735114536,0.9330596509567493,16.0,0.0
0.1,25000.0,0.1,0.05,0.0,128.0,64.0,32.0,403.0,0.4116986817915121,-0.00012534801779473526,16.0,0.0
0.1,25000.0,0.1,0.1,0.0,256.0,128.0,32.0,403.0,0.41175575268070097,-0.0004026479053091947,8.0,0.0
0.05,25000.0,0.1,0.05,0.0,256.0,128.0,16.0,403.0,0.11256315212501347,0.9252367840932396,4.0,0.0
0.05,25000.0,0.1,0.0,0.0,190.0,90.0,30.0,403.0,0.4119744898343972,-0.0014658187274745331,3.0,0.0
0.1,8000.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.1035285904337976,0.9367564727371652,2.0,0.0
0.1,15000.0,0.1,,,16.0,,,403.0,0.10600910458149984,0.9336895745961672,,
0.1,15000.0,0.0,,,1.0,,,403.0,0.12066651614313804,0.9140849930077004,,
0.1,15000.0,0.0,,,2.0,,,403.0,0.11681220585692505,0.9194859019936996,,
0.1,35000.0,,,,,,,403.0,0.13881936963269226,0.8862907964552399,,
0.05,25000.0,0.1,0.01,0.0,180.0,90.0,30.0,403.0,0.411964970347399,-0.0014195375574930225,6.0,0.0
0.1,20000.0,0.1,0.05,0.0,76.0,48.0,32.0,403.0,0.11036357483551591,0.9281301066197372,16.0,0.0
